name,lat,lon
ダックス,35.049448,135.743832
ドラッグゆたか,35.050298,135.741353
ダックス,35.064030,135.787183
マツモトキヨシ,31.591120,130.554681
コクミン,31.590080,130.555418
サンドラッグ,31.590906,130.555124
スギドラッグ,35.146626,137.023946
ダックス,35.055275,135.748599
ドラッグユタカ,35.068498,135.782136
マツモトキヨシ,35.731497,139.710299
どらっぐぱぱす 滝野川店,35.745900,139.721973
マツモトキヨシ,35.729576,139.712663
ドラッグスギヤマ,35.146613,137.019295
スギ薬局,35.152521,137.038553
ココカラファイン,35.155933,137.032674
ドラッグスギヤマ,35.154828,137.038092
オーエスドラッグ,35.704441,139.580075
マツモトキヨシ,35.599639,139.614657
マツモトキヨシ,35.660577,139.413192
ダックス,35.056167,135.767284
ドラッグ セガミ,34.735964,135.565446
,43.789216,131.978655
マツモトキヨシ,31.581639,130.505159
マツモトキヨシ,35.787976,139.929703
マツモトキヨシ,35.811215,139.931113
Хозяйственный магазин,42.838559,132.882227
セイジョー,35.498648,139.632734
スギ薬局,35.555061,139.415293
wants 皆実町店,34.372690,132.464740
ドラッグセイムス,36.031518,139.536033
サンドラッグ,35.730774,139.477935
スギ薬局,35.685803,139.774358
サンドラッグ,34.682444,135.827420
トモズ,35.656693,139.705136
セイジョー,35.647565,139.744726
welcia,35.806290,139.895432
セイムス,35.795721,139.896678
マツモトキヨシ,35.858086,139.653806
マツモトキヨシ,35.667282,139.757692
ハックドラッグ,35.471022,139.483035
ツルハドラッグ,35.710866,139.684559
トモズ,35.791820,139.920577
クリエイトSD松戸上本郷店,35.791413,139.919521
welcia,35.754236,139.900046
マツモトキヨシ,35.778939,139.721430
ドラッグセイムス,35.780558,139.930209
タケダ ドラッグ,34.682239,135.826209
химия и косметика,43.103967,131.946062
ドラッグ　スギヤマ,35.299232,136.817839
ドラッグストアセキ,35.927095,139.823829
マツモトキヨシ,35.856824,139.413489
サンドラッグ,34.886196,135.412541
スギ薬局,34.582401,135.515857
ゲンキー,35.649155,136.074634
ウエルシア,34.871951,138.318171
サンドラッグ,35.685186,139.488592
クリエイトSD,35.573137,139.457541
セイジョー,35.589692,139.498645
クリエイトSD,35.576529,139.509860
