"name","lat","lon","radius_m","supermarkets","aeon_drugstores","HHI_pre","HHI_post","dHHI","share_aeon","share_tsuruha","party_share","exceeds_safeharbor","tier"
"ツルハドラッグ 弘前境関店",40.6118168,140.5045591,2000,12,5,450,518,69,6.3,5.5,11.7,FALSE,"セーフハーバー内"
"ツルハドラッグ 弘前神田店",40.626081,140.4920209,2000,4,1,976,1024,49,2.9,8.6,11.4,FALSE,"セーフハーバー内"
"ツルハドラッグ 黒石一番町店",40.6488675,140.59356119999998,2000,7,1,508,616,108,9,6,15,FALSE,"セーフハーバー内"
"ツルハドラッグ 黒石店",40.6462789,140.6020001,2000,7,1,524,636,112,9.2,6.1,15.3,FALSE,"セーフハーバー内"
"調剤薬局ツルハドラッグ 黒石店",40.64628,140.6020039,2000,7,1,524,636,112,9.2,6.1,15.3,FALSE,"セーフハーバー内"
"調剤薬局ツルハドラッグ 黒石一番町店",40.649202599999995,140.5933177,2000,7,1,508,616,108,9,6,15,FALSE,"セーフハーバー内"
"ツルハドラッグ 十和田中央店",40.6159004,141.2114715,2000,10,5,399,465,66,6.2,5.4,11.6,FALSE,"セーフハーバー内"
"ツルハドラッグ 十和田店",40.6126467,141.200557,2000,10,5,441,518,76,6.6,5.8,12.4,FALSE,"セーフハーバー内"
"調剤薬局ツルハドラッグ 十和田中央店",40.615911600000004,141.2114728,2000,10,5,399,465,66,6.2,5.4,11.6,FALSE,"セーフハーバー内"
"調剤薬局ツルハドラッグ 十和田店",40.612639300000005,141.2005351,2000,10,5,441,518,76,6.6,5.8,12.4,FALSE,"セーフハーバー内"
"ツルハドラッグ 板柳福野田店",40.69562680000001,140.46167119999998,2000,9,0,711,771,59,8.6,3.4,12.1,FALSE,"セーフハーバー内"
"ツルハドラッグ 板柳店",40.706113,140.45539499999998,2000,7,0,821,908,87,10.4,4.2,14.6,FALSE,"セーフハーバー内"
"ツルハドラッグ 七戸店",40.6969642,141.1624569,2000,4,0,1254,1254,0,0,3.4,3.4,FALSE,"セーフハーバー内"
"ツルハドラッグ 三沢南町店",40.6743285,141.3725872,2000,9,3,436,459,24,9.7,1.2,10.9,FALSE,"セーフハーバー内"
"ツルハドラッグ 三沢南山店",40.6884343,141.3888169,2000,5,2,656,674,18,4.2,2.1,6.3,FALSE,"セーフハーバー内"
"ツルハドラッグ 浪岡店",40.720480599999995,140.5894195,2000,3,2,787,820,33,5.8,2.9,8.6,FALSE,"セーフハーバー内"
"ツルハドラッグ 鯵ヶ沢店",40.775832,140.22577410000002,2000,6,2,1185,1277,92,17.9,2.6,20.5,FALSE,"セーフハーバー内"
"ツルハドラッグ つがる柏店",40.8019544,140.40047479999998,2000,12,2,590,615,25,9.3,1.3,10.6,FALSE,"セーフハーバー内"
"ツルハドラッグ 五所川原広田店",40.7839326,140.4622431,2000,12,2,567,574,7,2.7,1.3,4,FALSE,"セーフハーバー内"
"ツルハドラッグ 五所川原店",40.802045199999995,140.46126120000002,2000,19,3,324,363,39,6.5,3,9.5,FALSE,"セーフハーバー内"
"ツルハドラッグ アクロス五所川原店",40.8020815,140.46127719999998,2000,19,3,324,363,39,6.5,3,9.5,FALSE,"セーフハーバー内"
"ツルハドラッグ 大野店",40.8086979,140.7346762,2000,12,7,576,640,64,14.3,2.2,16.5,FALSE,"セーフハーバー内"
"ツルハドラッグ 青森浜田店",40.7971122,140.76222149999998,2000,18,3,452,493,41,11.8,1.7,13.5,FALSE,"セーフハーバー内"
"調剤薬局ツルハドラッグ 大野店",40.8087046,140.7346857,2000,12,7,576,640,64,14.3,2.2,16.5,FALSE,"セーフハーバー内"
"ツルハドラッグ 青森桜川店",40.8088962,140.7706982,2000,18,8,529,605,76,15.1,2.5,17.6,FALSE,"セーフハーバー内"
"ツルハドラッグ 五所川原本町店",40.808862999999995,140.44247099999998,2000,20,1,303,331,29,4.9,2.9,7.8,FALSE,"セーフハーバー内"
"ツルハドラッグ 五所川原松島店",40.809552,140.4596652,2000,19,1,317,348,31,5.1,3,8.2,FALSE,"セーフハーバー内"
"ツルハドラッグ 青森富田店",40.8325718,140.7117528,2000,10,3,518,571,53,5,5.3,10.3,FALSE,"セーフハーバー内"
"ツルハドラッグ 青森新田店",40.8406127,140.715733,2000,7,3,826,917,91,7.5,6,13.6,FALSE,"セーフハーバー内"
"ツルハドラッグ 青森三内店",40.821856499999996,140.7112109,2000,11,5,491,522,31,6.2,2.5,8.7,FALSE,"セーフハーバー内"
"ツルハドラッグ 青森新城店",40.8283735,140.6760117,2000,6,1,847,857,10,2.3,2.3,4.6,FALSE,"セーフハーバー内"
"ツルハドラッグ 青森本町店",40.828801899999995,140.7537168,2000,5,2,785,828,43,4.7,4.7,9.3,FALSE,"セーフハーバー内"
"ツルハドラッグ 青森港町店",40.8303899,140.7692391,2000,8,2,711,738,26,3.6,3.6,7.2,FALSE,"セーフハーバー内"
"ツルハドラッグ 青森南佃店",40.812571399999996,140.78234989999999,2000,13,5,452,476,24,5.5,2.2,7.7,FALSE,"セーフハーバー内"
"ツルハドラッグ 青森原別店",40.836638199999996,140.7979665,2000,5,2,926,953,27,5.2,2.6,7.7,FALSE,"セーフハーバー内"
"調剤薬局ツルハドラッグ 青森新田店",40.8406148,140.7157181,2000,7,3,826,917,91,7.5,6,13.6,FALSE,"セーフハーバー内"
"ツルハドラッグ 野辺地店",40.8635819,141.12659879999998,2000,10,1,710,742,31,9.7,1.6,11.3,FALSE,"セーフハーバー内"
"ツルハドラッグ 平内店",40.9251302,140.95968009999999,2000,3,0,1650,1852,202,22.5,4.5,27,FALSE,"セーフハーバー内"
"ツルハドラッグ むつ大平店",41.2825779,141.16845279999998,2000,3,1,933,1029,96,7.8,6.2,14,FALSE,"セーフハーバー内"
"ツルハドラッグ むつ店",41.2936547,141.2068196,2000,19,2,313,327,13,2.1,3.1,5.2,FALSE,"セーフハーバー内"
"ツルハドラッグ むつ小川店",41.2920318,141.2038057,2000,18,2,314,332,17,2.8,3.2,5.9,FALSE,"セーフハーバー内"
"ツルハドラッグ むつ旭町店",41.28654710000001,141.178976,2000,4,2,702,776,74,8,4.6,12.6,FALSE,"セーフハーバー内"
"調剤薬局ツルハドラッグ むつ店",41.2936724,141.2068248,2000,19,2,313,327,13,2.1,3.1,5.2,FALSE,"セーフハーバー内"
"ツルハドラッグ むつ柳町店",41.303766499999995,141.220189,2000,19,0,394,399,5,0.7,3.5,4.2,FALSE,"セーフハーバー内"
"ツルハドラッグ 松前店",41.4256871,140.0852852,2000,2,0,2320,2320,0,0,12.7,12.7,FALSE,"セーフハーバー内"
"調剤薬局ツルハドラッグ 松前店",41.425669,140.08527229999999,2000,2,0,2320,2320,0,0,12.7,12.7,FALSE,"セーフハーバー内"
"ツルハドラッグ 古河中央店",36.192177799999996,139.71129539999998,2000,15,4,518,545,27,13.7,1,14.7,FALSE,"セーフハーバー内"
"ツルハドラッグ 古河諸川店",36.202093999999995,139.8078464,2000,7,6,1129,1218,89,22.9,2,24.9,FALSE,"セーフハーバー内"
"ツルハドラッグ 関城店",36.2511651,139.91654409999998,2000,1,0,1862,1862,0,0,7.5,7.5,FALSE,"セーフハーバー内"
"ツルハドラッグ 黒子店",36.2534908,139.9758516,2000,5,0,1555,1555,0,0,3.5,3.5,FALSE,"セーフハーバー内"
"ツルハドラッグ 八郷店",36.2452465,140.1963535,2000,1,0,1862,2431,570,37.7,7.5,45.3,TRUE,"セーフハーバー超過(スーパー有=競争維持余地)"
"ツルハドラッグ 新栃木店",36.3924653,139.7369333,2000,20,3,279,287,8,5.6,0.7,6.3,FALSE,"セーフハーバー内"
"ツルハドラッグ 壬生店",36.425792,139.802764,2000,7,0,797,839,43,10.3,2.1,12.4,FALSE,"セーフハーバー内"
"ツルハドラッグ 西方店",36.4676165,139.7424225,2000,2,0,1946,1946,0,0,5.9,5.9,FALSE,"セーフハーバー内"
"ツルハドラッグ 亀山北店",36.463328600000004,139.9926229,2000,2,2,1349,1436,87,9.3,4.7,14,FALSE,"セーフハーバー内"
"ツルハドラッグ 鹿沼晃望台店",36.559339,139.7659098,2000,15,4,295,307,12,7.5,0.8,8.3,FALSE,"セーフハーバー内"
"ツルハドラッグ 宇都宮不動前店",36.5444203,139.8794611,2000,11,3,480,503,23,4.7,2.5,7.1,FALSE,"セーフハーバー内"
"ツルハドラッグ 宇都宮簗瀬店",36.553627299999995,139.891348,2000,12,3,397,436,39,4.7,4.2,8.9,FALSE,"セーフハーバー内"
"ツルハドラッグ 宇都宮東峰町店",36.540548699999995,139.9188315,2000,18,3,336,374,38,4.8,4,8.7,FALSE,"セーフハーバー内"
"ツルハドラッグ 宇都宮東宿郷店",36.556481399999996,139.9095489,2000,21,5,293,335,43,5.3,4,9.3,FALSE,"セーフハーバー内"
"ツルハドラッグ 宇都宮平松本町店",36.542743,139.90382,2000,12,4,435,498,63,7.4,4.2,11.6,FALSE,"セーフハーバー内"
"ツルハドラッグ 宇都宮陽東店",36.551052999999996,139.9275835,2000,15,1,384,408,24,3.1,3.8,6.9,FALSE,"セーフハーバー内"
"調剤薬局ツルハドラッグ 宇都宮陽東店",36.5510386,139.9275913,2000,15,1,384,408,24,3.1,3.8,6.9,FALSE,"セーフハーバー内"
"ツルハドラッグ 市貝店",36.536833,140.0862951,2000,1,0,2732,2732,0,0,9.5,9.5,FALSE,"セーフハーバー内"
"ツルハドラッグ 鹿沼日吉町店",36.5653216,139.73175419999998,2000,5,2,582,598,15,3.9,2,5.9,FALSE,"セーフハーバー内"
"ツルハドラッグ 宇都宮戸祭店",36.5764571,139.863796,2000,16,4,335,341,6,3.4,0.8,4.2,FALSE,"セーフハーバー内"
"ツルハドラッグ 宇都宮野沢店",36.606757,139.85702799999999,2000,8,0,753,753,0,0,5.6,5.6,FALSE,"セーフハーバー内"
"ツルハドラッグ 宇都宮岩曽店",36.5881696,139.91362189999998,2000,7,1,643,659,16,4.5,1.8,6.3,FALSE,"セーフハーバー内"
"ツルハドラッグ 宇都宮ゆいの杜店",36.5719298,139.9929669,2000,4,4,1133,1253,120,23.2,2.6,25.8,FALSE,"セーフハーバー内"
"ツルハドラッグ 宇都宮宝木本町店",36.606063,139.845877,2000,7,0,782,782,0,0,6,6,FALSE,"セーフハーバー内"
"ツルハドラッグ 宇都宮徳次郎店",36.645794599999995,139.8458646,2000,1,0,3488,3488,0,0,11.1,11.1,FALSE,"セーフハーバー内"
"調剤薬局ツルハドラッグ 宇都宮野沢店",36.606808799999996,139.85751199999999,2000,6,0,869,869,0,0,6.8,6.8,FALSE,"セーフハーバー内"
"ツルハドラッグ 宇都宮白沢店",36.620759,139.932545,2000,3,0,1089,1089,0,0,3.5,3.5,FALSE,"セーフハーバー内"
"ツルハドラッグ 宇都宮下田原店",36.6354021,139.90334679999998,2000,2,0,2109,2109,0,0,6.2,6.2,FALSE,"セーフハーバー内"
"ツルハドラッグ 烏山店",36.6551166,140.1553334,2000,7,0,947,947,0,0,2.3,2.3,FALSE,"セーフハーバー内"
"ツルハドラッグ 日光板橋店",36.6853925,139.72386219999999,2000,2,2,1455,1576,122,12.9,4.7,17.6,FALSE,"セーフハーバー内"
"ツルハドラッグ 日光大沢店",36.6900665,139.7621896,2000,2,2,1133,1202,69,8.3,4.2,12.5,FALSE,"セーフハーバー内"
"ツルハドラッグ さくら氏家店",36.705781099999996,139.9690711,2000,3,0,1445,1445,0,0,4.2,4.2,FALSE,"セーフハーバー内"
"ツルハドラッグ さくら富野岡店",36.6911729,139.9457351,2000,6,0,893,893,0,0,2.4,2.4,FALSE,"セーフハーバー内"
"ツルハドラッグ 矢板片岡店",36.7492918,139.9507476,2000,1,0,2425,2543,119,6.7,8.9,15.6,FALSE,"セーフハーバー内"
"ツルハドラッグ 喜連川店",36.721824,140.022012,2000,2,2,1792,1912,120,11,5.5,16.4,FALSE,"セーフハーバー内"
