"name","lat","lon","A_in_2km","competitor_groups_2km","comp_stores_2km","is_competing_shoken","is_concern","category"
"ツルハドラッグ",33.5778987,133.5508397,3,11,16,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"ツルハドラッグ",33.3348765,133.2242635,0,0,0,FALSE,FALSE,"重複なし(企業結合の影響なし)"
"Wants",34.2910436,132.2737001,0,1,1,FALSE,FALSE,"重複なし(企業結合の影響なし)"
"ウォンツ 周防大島店",33.9469383,132.2076129,0,1,1,FALSE,FALSE,"重複なし(企業結合の影響なし)"
"くすりのレデイ",33.9415294,133.2996261,4,16,21,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"くすりのレデイ",33.7915762,132.8798846,1,4,4,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"ツルハドラッグ 向能代店",40.2229339,140.03121629999998,2,2,2,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"ツルハドラッグ 鯵ヶ沢店",40.775832,140.22577410000002,1,5,5,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"ツルハドラッグ 鷹巣店",40.230204199999996,140.37978239999998,2,10,10,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"ツルハドラッグ 弘前岩木店",40.6142839,140.424319,1,2,2,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"ツルハドラッグ つがる柏店",40.8019544,140.40047479999998,4,6,8,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"ツルハドラッグ 弘前樹木店",40.589449599999995,140.45595649999998,6,17,23,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"ツルハドラッグ 弘前石渡店",40.629467,140.458713,2,7,7,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"ツルハドラッグ 弘前神田店",40.626081,140.4920209,2,14,14,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"ツルハドラッグ 弘前西城北店",40.615524,140.47145899999998,6,22,23,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"ツルハドラッグ 板柳福野田店",40.69562680000001,140.46167119999998,1,6,7,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"ツルハドラッグ 弘前境関店",40.6118168,140.5045591,4,22,23,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"ツルハドラッグ 大館南店",40.2467064,140.5716124,0,1,1,FALSE,FALSE,"重複なし(企業結合の影響なし)"
"ツルハドラッグ 大館北店",40.295767,140.559629,1,10,11,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"ツルハドラッグ 黒石一番町店",40.649202599999995,140.5933177,1,8,11,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"ツルハドラッグ 浪岡店",40.720480599999995,140.5894195,1,4,4,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"ツルハドラッグ 青森新田店",40.8406127,140.715733,4,8,10,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"ツルハドラッグ 青森三内店",40.821856499999996,140.7112109,7,16,19,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"ツルハドラッグ 青森原別店",40.836638199999996,140.7979665,4,5,5,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"ツルハドラッグ 平内店",40.9251302,140.95968009999999,0,2,2,FALSE,FALSE,"重複なし(企業結合の影響なし)"
"ツルハドラッグ 七戸店",40.6969642,141.1624569,0,3,3,FALSE,FALSE,"重複なし(企業結合の影響なし)"
"ツルハドラッグ むつ大平店",41.2825779,141.16845279999998,1,9,11,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"ツルハドラッグ むつ旭町店",41.28654710000001,141.178976,2,10,12,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"ツルハドラッグ 十和田店",40.6126467,141.200557,6,17,20,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"ツルハドラッグ 十和田中央店",40.6159004,141.2114715,6,18,22,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"ツルハドラッグ むつ小川店",41.2920318,141.2038057,3,15,18,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"ツルハドラッグ むつ柳町店",41.303766499999995,141.220189,0,5,6,FALSE,FALSE,"重複なし(企業結合の影響なし)"
"ツルハドラッグ 三戸店",40.3976377,141.2633645,1,4,4,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"ツルハドラッグ みなと店",40.5141918,141.5355313,4,9,9,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"調剤薬局ツルハドラッグ 八戸江陽店",40.523508899999996,141.5019675,4,9,12,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"ツルハドラッグ 新栃木店",36.3924653,139.7369333,3,13,16,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"ツルハドラッグ 西方店",36.4676165,139.7424225,0,0,0,FALSE,FALSE,"重複なし(企業結合の影響なし)"
"ツルハドラッグ 鹿沼日吉町店",36.5653216,139.73175419999998,1,7,9,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"ツルハドラッグ 日光大沢店",36.6900665,139.7621896,1,4,4,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"ツルハドラッグ 壬生店",36.425792,139.802764,0,1,1,FALSE,FALSE,"重複なし(企業結合の影響なし)"
"ツルハドラッグ 宇都宮戸祭店",36.5764571,139.863796,5,11,18,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"ツルハドラッグ 宇都宮徳次郎店",36.645794599999995,139.8458646,0,0,0,FALSE,FALSE,"重複なし(企業結合の影響なし)"
"調剤薬局ツルハドラッグ 宇都宮野沢店",36.606808799999996,139.85751199999999,0,5,7,FALSE,FALSE,"重複なし(企業結合の影響なし)"
"ツルハドラッグ 関城店",36.2511651,139.91654409999998,0,1,1,FALSE,FALSE,"重複なし(企業結合の影響なし)"
"ツルハドラッグ 宇都宮東宿郷店",36.556481399999996,139.9095489,5,13,20,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"ツルハドラッグ 宇都宮岩曽店",36.5881696,139.91362189999998,1,7,8,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"ツルハドラッグ 宇都宮下田原店",36.6354021,139.90334679999998,0,1,1,FALSE,FALSE,"重複なし(企業結合の影響なし)"
"ツルハドラッグ 黒子店",36.2534908,139.9758516,0,0,0,FALSE,FALSE,"重複なし(企業結合の影響なし)"
"ツルハドラッグ 宇都宮白沢店",36.620759,139.932545,0,0,0,FALSE,FALSE,"重複なし(企業結合の影響なし)"
"ツルハドラッグ さくら富野岡店",36.6911729,139.9457351,0,3,3,FALSE,FALSE,"重複なし(企業結合の影響なし)"
"ツルハドラッグ 矢板片岡店",36.7492918,139.9507476,0,2,2,FALSE,FALSE,"重複なし(企業結合の影響なし)"
"ツルハドラッグ さくら氏家店",36.705781099999996,139.9690711,0,4,4,FALSE,FALSE,"重複なし(企業結合の影響なし)"
"ツルハドラッグ 大田原薄葉店",36.8310688,139.9754905,0,2,2,FALSE,FALSE,"重複なし(企業結合の影響なし)"
"ツルハドラッグ 亀山北店",36.463328600000004,139.9926229,2,4,4,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"ツルハドラッグ 宇都宮ゆいの杜店",36.5719298,139.9929669,2,7,7,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"ツルハドラッグ 喜連川店",36.721824,140.022012,1,1,1,TRUE,TRUE,"懸念:複占化(結合後の競争者1)"
"ツルハドラッグ 那須塩原島方店",36.936402699999995,140.0128154,1,2,2,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"ツルハドラッグ 那須高原店",37.0440347,140.0164651,0,1,1,FALSE,FALSE,"重複なし(企業結合の影響なし)"
"杏林堂",36.8607775,140.1148288,0,3,3,FALSE,FALSE,"重複なし(企業結合の影響なし)"
"ツルハドラッグ 烏山店",36.6551166,140.1553334,0,3,4,FALSE,FALSE,"重複なし(企業結合の影響なし)"
"ツルハドラッグ 八郷店",36.2452465,140.1963535,0,2,2,FALSE,FALSE,"重複なし(企業結合の影響なし)"
"ツルハドラッグ 白河白坂店",37.100546099999995,140.1965959,0,7,7,FALSE,FALSE,"重複なし(企業結合の影響なし)"
"ツルハドラッグ 白河結城店",37.1194817,140.2284076,0,6,6,FALSE,FALSE,"重複なし(企業結合の影響なし)"
"ツルハドラッグ 古河中央店",36.192177799999996,139.71129539999998,6,15,16,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"くすりの福太郎西新井店",35.771416599999995,139.781255,3,10,17,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"調剤薬局くすりの福太郎 西新井大師前駅店",35.778690999999995,139.781306,5,10,23,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"ツルハドラッグ 草加5丁目店",35.837382999999996,139.802899,7,8,22,TRUE,FALSE,"競争維持(競争者2グループ以上)"
